USE,FILE NAME,USETEST,MOVE,AVAILABLE,DURATION,CHANNEL,NOTES,SCALE,FEELING,ROOM / DEVICE,STAGE,MOTION,LIGHT,COLOR,O,P,Q,R,S,T,U,V,w
Y,NINJA_S001_S001_T142.mov,,0:25:00,UPLOADED,2:14:00,ALICE,foco a NV centers clos up,landscape,flirting,Diamond micro,Prep,Focus,Light,Red,,,,,,MILD,,,
Y,A004_04290945_C003.mov,,,UPLOADED,0:02:39,BOB,diamnte scanning con cambios,landscape,flirting,Diamond micro,Prep,Panning,Light,,,,,,,MILD,,,
Y,A004_04290954_C005.mov,,0:03:16,UPLOADED,04:53:00,ALICE,diamnte scanning con cambios,landscape,flirting,Diamond micro,Prep,Panning,Light,,,,,,,MILD,,,
Y,A004_04290959_C007_8.mov,,,UPLOADED,0:14:14,BOB,takashi dimaond on micro,landscape,flirting,Diamond micro,Prep,Panning,,,,,,,,MILD,,,
Y,Lab02214148_V1-0021.mov,,MOVED,UPLOADED,0:08:00,ALICE,caja de Frodo,graphic,flirting,Diamond,Prep,Still,Light,,,,,,Cine,MILD,,,Lab02214148_V1-0021
,TOTAL TIME,,,,,,,,,,,,,,,,,,,,,,
Y,Route00941089_V1-0001.mov,,,UPLOADED,0:07:21,BOB,Technische Naturkunde with bird of wndow,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01181196_V1-0012.mov,,,UPLOADED,0:09:07,BOB,escaler con reflejo de ventana,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01196471_V1-0013.mov,,,UPLOADED,0:11:18,BOB,ventana redonda hojas.  Delft abandonado,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route00944867_V1-0002.mov,,,UPLOADED,0:15:00,BOB,Technische Naturkunde close up,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route00992050_V1-0003.mov,,,UPLOADED,0:15:00,BOB,torre de ladrillos close up ,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route00994385_V1-0004.mov,,,UPLOADED,0:24:06,ALICE,torre de ladrillos,landscape,lonely,Route Delft,Transmission,Panning,,,Light,,,,,MILD,,Cine,
Y,Route01022685_V1-0005.mov,,,UPLOADED,0:15:00,ALICE,routers,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01136627_V1-0006.mov,,,UPLOADED,0:20:08,ALICE,farol de luz roto. hojas moviendose. Delft abandonado,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01138352_V1-0007.mov,,,UPLOADED,1:00:06,ALICE,reflejo de hojas. Delft abandonado,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01151159_V1-0008.mov,,,UPLOADED,0:29:36,BOB,Delft abandonado (noise) ,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01160553_V1-0009.mov,,,UPLOADED,0:29:00,ALICE,Delft abandonado (noise) ,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01167577_V1-0010.mov,,,UPLOADED,0:20:07,ALICE,argentina campeon mundial,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01178561_V1-0011.mov,,,UPLOADED,0:05:00,BOB,escalera perfil ,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route01216815_V1-0014.mov,,,UPLOADED,0:15:00,BOB,Telefono wind compass.  Delft abandonado,landscape,lonely,Route Delft,Transmission,Still,,,Light,,,,,MILD,,Cine,
Y,Route03102614_V1-0015.mov,,,UPLOADED,0:25:00,BOB,wall piece telefono.  Delft abandonado,landscape,lonely,Route Delft,Transmission,Still,,,,,,,,MILD,,Cine,
